x,z,z_scaled,kernel,globalmax,horizons,environment,id,trials,agent,Edistance
23,66,48,37,65,10,smooth,59,10,human,1
18,83,61,27,67,5,smooth,59,0,human,-1
17,87,63,27,67,5,smooth,59,1,human,1
16,80,59,27,67,5,smooth,59,2,human,1
15,70,52,27,67,5,smooth,59,3,human,1
19,74,55,27,67,5,smooth,59,4,human,4
20,63,47,27,67,5,smooth,59,5,human,1
18,1,6,31,62,10,smooth,59,0,human,-1
2,47,34,31,62,10,smooth,59,1,human,16
27,18,16,31,62,10,smooth,59,2,human,25
9,46,34,31,62,10,smooth,59,3,human,18
14,29,23,31,62,10,smooth,59,4,human,5
23,29,23,31,62,10,smooth,59,5,human,9
5,24,20,31,62,10,smooth,59,6,human,18
