,agent,id,environment,t,z
414,per_gpt,414,smooth,0.0,50.82057363283684
415,per_gpt,415,smooth,1.0,62.064527864827056
416,per_gpt,416,smooth,0.2,59.98526052209291
417,per_gpt,417,smooth,0.4,47.45145601737322
418,per_gpt,418,smooth,0.6,56.88820370048244
419,per_gpt,419,smooth,0.0,40.629534838086194
420,per_gpt,420,smooth,1.0,17.034059807281686
421,per_gpt,421,smooth,0.2,81.10402949319565
422,per_gpt,422,smooth,0.4,49.15588306674372
423,per_gpt,423,smooth,0.6,35.2730878307021
424,per_gpt,424,smooth,0.0,44.021654779607154
425,per_gpt,425,smooth,1.0,35.775142913107885
426,per_gpt,426,smooth,0.2,63.70883210457182
427,per_gpt,427,smooth,0.4,14.47603923883064
428,per_gpt,428,smooth,0.6,46.41446817685673
429,per_gpt,429,smooth,0.0,77.25901353664788
430,per_gpt,430,smooth,1.0,57.12562596627565
431,per_gpt,431,smooth,0.2,59.948010279049775
432,per_gpt,432,smooth,0.4,30.5263129145507
433,per_gpt,433,smooth,0.6,32.922640954974405
434,per_gpt,434,smooth,0.8,62.812890334177844
435,per_gpt,435,smooth,0.0,56.42332474309479
436,per_gpt,436,smooth,1.0,50.82982857390822
437,per_gpt,437,smooth,1.0,44.673711151620715
438,per_gpt,438,smooth,1.0,54.992202781106904
439,per_gpt,439,smooth,1.0,60.835497626945354
440,per_gpt,440,smooth,1.0,58.674714496864176
441,per_gpt,441,smooth,1.0,71.42778789865424
442,per_gpt,442,smooth,1.0,64.49163817731878
443,per_gpt,443,smooth,1.0,50.7677851997058
444,per_gpt,444,smooth,1.0,35.62441028778741
445,per_gpt,445,smooth,1.0,65.92552441754867
446,per_gpt,446,smooth,1.0,42.80764342667382
447,per_gpt,447,smooth,0.2,75.11477195852771
448,per_gpt,448,smooth,0.4,47.31376769922747
449,per_gpt,449,smooth,0.6,11.489910249163499
450,per_gpt,450,smooth,0.8,72.22234828278364
451,per_gpt,451,smooth,0.0,62.21249754295257
452,per_gpt,452,smooth,1.0,64.95666524165794
453,per_gpt,453,smooth,0.2,38.5013068838305
454,per_gpt,454,smooth,0.4,64.90781642640641
455,per_gpt,455,smooth,0.6,55.67582689967071
456,per_gpt,456,smooth,0.8,21.716155825098088
457,per_gpt,457,smooth,0.0,50.46601825421851
458,per_gpt,458,smooth,1.0,66.8215115135691
