,AIC,BIC,Model,id,horizons,environment,t
420,29.82489646063495,29.43433437306905,WSLS,461,5,smooth,0.8
421,29.824896500268505,29.434334412702604,WSLS,461,5,smooth,0.0
422,24.55876837067983,24.16820628311393,WSLS,461,5,smooth,0.2
423,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.4
424,24.55876829725537,24.16820620968947,WSLS,461,5,smooth,0.6
425,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.8
426,18.97584731530182,18.58528522773592,WSLS,461,5,smooth,0.0
427,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.2
428,24.5587682974846,24.1682062099187,WSLS,461,5,smooth,0.4
429,24.558768353072722,24.16820626550682,WSLS,461,5,smooth,0.6
430,18.97584730861427,18.58528522104837,WSLS,461,5,smooth,0.8
431,34.51916952483118,34.12860743726528,WSLS,461,5,smooth,0.0
432,34.519169525846166,34.12860743828027,WSLS,461,5,smooth,0.2
433,36.04530906361021,35.654746976044315,WSLS,461,5,smooth,0.4
434,36.04530906361015,35.65474697604425,WSLS,461,5,smooth,0.6
435,24.558768295222873,24.168206207656972,WSLS,461,5,smooth,0.8
436,29.824896489045017,29.434334401479116,WSLS,461,5,smooth,0.0
437,24.558768295774748,24.168206208208847,WSLS,461,5,smooth,0.2
438,29.824896460758076,29.434334373192176,WSLS,461,5,smooth,0.4
439,24.558768311814998,24.168206224249097,WSLS,461,5,smooth,0.6
440,36.04530906361142,35.65474697604552,WSLS,461,5,smooth,0.8
441,24.558768316613772,24.168206229047872,WSLS,461,5,smooth,0.0
442,34.51916952511081,34.128607437544915,WSLS,461,5,smooth,0.2
443,36.045309063610205,35.65474697604431,WSLS,461,5,smooth,0.4
444,18.975847310475583,18.585285222909683,WSLS,461,5,smooth,0.6
445,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.8
446,24.558768311400797,24.168206223834897,WSLS,461,5,smooth,0.0
447,29.82489646117683,29.43433437361093,WSLS,461,5,smooth,0.2
448,29.824896462841085,29.434334375275185,WSLS,461,5,smooth,0.4
449,18.97584731087324,18.58528522330734,WSLS,461,5,smooth,0.6
450,36.04530906361008,35.65474697604418,WSLS,461,5,smooth,0.8
451,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.0
452,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.2
453,24.558768295412296,24.168206207846396,WSLS,461,5,smooth,0.4
454,36.04530906361006,35.654746976044166,WSLS,461,5,smooth,0.6
455,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.8
456,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.0
457,24.558768321348936,24.168206233783035,WSLS,461,5,smooth,0.2
458,29.82489646238607,29.43433437482017,WSLS,461,5,smooth,0.4
459,18.975847457390188,18.585285369824287,WSLS,461,5,smooth,0.6
460,34.519169524885456,34.12860743731956,WSLS,461,5,smooth,0.8
461,24.558768309671947,24.168206222106047,WSLS,461,5,smooth,0.0
462,13.358722503494754,12.577598328362955,IMD,461,5,smooth,1.0
